IP,bytes
128.104.66.114,4889
128.120.125.246,11359
128.120.153.224,480433
128.120.5.70,0
128.120.68.34,61554
128.138.177.19,156204
128.138.177.44,167591
128.138.177.6,63856
128.144.102.56,521757
128.148.245.158,3947
128.150.157.33,35238
128.158.53.34,73249
128.159.128.27,1052103
128.159.144.142,17074
128.159.146.92,18181
128.163.10.219,12130
128.163.17.212,212306
128.163.40.45,258067
128.165.180.61,92188
128.180.28.3,5388
128.192.24.215,2624
128.196.182.10,24398
128.206.30.37,4233
128.220.72.225,11746
128.227.109.32,19910
128.227.144.18,93175
128.227.152.54,343634
128.23.160.101,11747
128.252.99.104,325001
128.253.25.114,269703
128.255.51.142,32988
128.97.218.144,93203
129.108.62.218,12649
129.130.232.64,454963
129.132.182.34,97879
129.135.216.13,11747
129.15.32.106,120788
129.162.13.175,43686
129.162.205.5,23009
129.187.250.1,19910
129.190.221.148,15154
129.190.44.137,47742
129.193.171.77,3073
129.193.186.72,5830
129.219.187.109,16530
129.228.127.11,35792
129.237.223.3,12306
129.237.24.71,1274796
129.238.120.26,11746
129.243.129.234,104910
129.252.188.166,93362
129.252.21.184,60575
129.53.76.146,1140
129.57.33.48,14256
129.81.186.112,98546
129.93.222.79,11746
129.93.226.66,7513
129.93.226.71,11746
129.93.229.104,11808
129.93.236.89,11747
129.96.209.96,4996
130.101.13.102,86425
130.127.84.37,12630
130.158.72.126,40575
130.19.10.65,957522
130.206.105.165,29733
130.207.94.51,23026
130.241.163.40,30666
130.38.73.80,17607
130.54.47.156,13603
130.95.42.191,9566
130.99.163.23,3842
131.110.56.66,37512
131.120.147.33,2624
131.126.30.164,175957
131.144.40.72,5327
131.167.25.3,784339
131.167.25.6,30575
131.167.48.39,155930
131.167.99.59,116036
131.167.99.88,209201
131.170.154.29,12588
131.178.81.68,152564
131.178.9.51,83630
131.181.38.71,35339
131.182.154.201,11747
131.182.170.143,8727
131.203.13.244,4889
131.215.67.47,32988
131.230.197.21,3073
131.247.150.153,11808
131.250.8.83,67624
131.44.53.25,4889
131.52.16.102,373394
131.90.176.27,8712
131.92.128.99,136556
131.92.168.177,51853
131.92.168.211,173168
131.95.119.99,46091
132.170.199.112,11808
132.170.199.114,74850
132.170.199.124,28201
132.175.136.162,19488
132.236.38.122,13925
132.248.53.29,106260
132.74.12.10,69622
133.62.128.131,44317
134.116.4.42,4449
134.126.28.83,11590
134.136.91.60,14416
134.156.8.36,61456
134.164.40.57,11747
134.186.133.70,103336
134.186.191.100,11747
134.186.191.52,12419
134.186.194.4,128164
134.186.196.20,7477
134.186.196.23,161147
134.20.176.82,116624
134.20.62.234,130983
134.243.205.146,22149
134.243.205.184,24553
134.243.205.239,53977
134.243.230.108,15663
134.53.24.216,14507
134.53.98.16,39721
134.67.162.118,15506
134.67.162.121,10238
134.67.162.123,108959
134.67.162.127,24802
134.67.195.123,11808
134.67.247.53,31613
134.67.39.48,17214
134.67.41.20,69511
134.67.57.26,14122
134.67.57.27,69641
134.67.75.116,4888
134.7.60.128,32505
136.205.176.110,39957
136.205.18.37,29657
136.210.122.4,3710
137.113.193.236,35969
137.132.52.66,2235
137.159.177.111,14449
137.161.153.224,39435
137.187.102.8,5327
137.219.55.101,1162480
137.227.51.13,52293
137.227.51.15,37584
137.229.144.53,16131
137.241.180.13,8618
137.243.44.118,52225
137.35.140.68,78093
137.44.6.161,9606
138.13.122.153,91352
138.145.14.116,24576
138.25.148.25,45491
138.26.154.176,11747
138.87.164.21,73569
138.87.174.181,104476
138.87.174.185,47258
138.87.174.187,19910
138.87.174.193,4707
138.87.174.195,18643
138.87.174.197,18705
138.87.174.199,13705
138.87.174.201,25132
139.102.65.47,18356
139.102.65.59,67686
139.104.10.120,26806
139.104.10.167,58579
139.121.102.121,30593
139.121.50.49,598
139.121.79.159,134858
139.121.98.45,5041738
139.230.166.82,95929
139.94.97.6,39857
140.112.34.207,10297
140.112.68.165,7811
140.115.3.165,4889
140.120.29.161,11516
140.183.199.34,35176
140.90.166.59,73392
140.96.17.110,24866
141.161.18.205,444230
141.173.36.74,52522
141.173.58.82,177600
141.192.85.41,43782
141.209.3.136,1824
141.211.86.123,14484
141.233.130.130,103106
141.243.1.108,11808
141.243.1.172,1634402
141.243.1.174,10739
141.243.1.182,23494
141.243.1.183,11747
141.243.1.184,19260
141.243.1.185,7513
141.243.1.186,11747
141.243.1.187,11747
141.243.1.188,11747
141.244.142.68,4889
142.106.186.101,11516
142.139.220.18,26138
142.140.32.21,54461
142.142.64.13,53501
142.2.32.69,34314
142.227.56.52,15204
142.25.2.206,84897
142.28.2.67,398729
142.36.4.198,10925
142.94.10.2,11808
143.139.25.15,15019
143.166.206.84,232810
143.188.9.163,42748
143.202.74.4,11746
144.207.78.19,134184
144.39.248.101,34095
144.51.21.1,14370
144.92.184.112,34212
144.92.46.13,24476
146.114.111.32,8280
146.114.26.12,228495
146.114.41.1,77075
146.129.161.37,19490
146.137.152.20,17330
146.138.12.103,11746
146.138.145.126,335188
